,open,high,low,close,volume,is_trading_day,days_since_last_trading,pct_change
2017-05-11,82.95,83.88,82.55,83.38,20180,1,1.0,0.4578313253011945
2017-05-12,82.56,83.86,81.71,83.86,12200,1,1.0,0.5756776205324998
2017-05-15,83.49,83.49,82.8,83.45,52680,1,3.0,-0.4889100882423003
2017-05-16,83.54,83.54,82.33,82.53,22580,1,1.0,-1.1024565608148573
2017-05-17,81.95,81.95,79.06,79.06,39915,1,1.0,-4.20453168544771
2017-05-18,79.02,81.5,78.34,81.3,15945,1,1.0,2.83329117126232
2017-05-19,81.43,81.77,81.0,81.14,4565,1,1.0,-0.19680196801967753
2017-05-22,81.48,81.82,81.1,81.47,6530,1,3.0,0.4067044614247006
2017-05-23,81.08,81.55,81.03,81.19,7075,1,1.0,-0.3436847919479624
2017-05-24,81.08,81.6,80.3,80.3,5645,1,1.0,-1.0961941125754437
2017-05-25,80.78,81.28,80.68,81.24,1325,1,1.0,1.1706102117061024
2017-05-26,80.8,80.95,80.43,80.74,7930,1,1.0,-0.615460364352538
2017-05-29,80.29,81.11,79.82,81.11,6815,1,3.0,0.45826108496409557
2017-05-30,79.72,79.72,78.88,79.43,24585,1,1.0,-2.0712612501540995
2017-05-31,78.84,80.0,78.78,79.42,8670,1,1.0,-0.012589701624077243
2017-06-01,78.71,79.63,77.75,78.83,81010,1,1.0,-0.7428859229413276
2017-06-02,77.84,77.85,76.4,77.51,33770,1,1.0,-1.674489407585933
2017-06-06,76.97,81.0,76.97,80.7,23990,1,4.0,4.115597987356456
2017-06-07,80.59,81.67,80.59,81.67,7240,1,1.0,1.2019826517967847
2017-06-08,81.73,82.6,81.24,81.33,21535,1,1.0,-0.4163095383861948
2017-06-09,82.3,82.64,81.64,82.2,31010,1,1.0,1.0697159719660787
2017-06-12,82.43,83.0,81.87,81.89,9440,1,3.0,-0.3771289537712885
2017-06-13,82.39,82.87,82.37,82.82,29835,1,1.0,1.135669800952499
2017-06-14,82.98,83.64,82.04,82.04,18390,1,1.0,-0.9418014972228828
2017-06-15,81.84,81.84,80.6,80.78,8145,1,1.0,-1.5358361774744034
2017-06-16,80.5,80.5,79.79,80.09,6605,1,1.0,-0.8541718247090824
2017-06-19,80.67,81.18,80.23,80.51,4695,1,3.0,0.5244100387064465
2017-06-20,80.57,80.7,78.51,78.51,21195,1,1.0,-2.484163457955535
2017-06-21,78.82,79.98,78.15,79.84,38760,1,1.0,1.6940517131575517
2017-06-22,79.93,80.13,79.02,79.02,45490,1,1.0,-1.0270541082164408
2017-06-23,79.54,79.71,78.62,78.62,16610,1,1.0,-0.506200961781822
2017-06-26,78.61,78.66,77.76,77.83,13495,1,3.0,-1.0048333757313732
2017-06-27,77.93,78.39,77.51,78.19,46365,1,1.0,0.46254657587048165
2017-06-28,77.05,78.6,76.52,78.6,20560,1,1.0,0.5243637293771641
2017-06-29,78.53,78.53,77.01,77.01,11525,1,1.0,-2.0229007633587703
2017-06-30,77.18,80.86,77.18,80.72,46200,1,1.0,4.817556161537451
2017-07-03,83.11,83.13,81.77,82.7,22145,1,3.0,2.452923686818642
2017-07-04,82.45,83.01,82.26,82.93,8755,1,1.0,0.2781136638452253
2017-07-05,82.55,83.37,82.55,82.83,11240,1,1.0,-0.12058362474377526
2017-07-06,83.42,83.8,82.42,82.42,11625,1,1.0,-0.494989738017626
